Issue key,Issue id,Assignee,Status,Summary,Custom field (Type of Service),Component/s,Custom field (Offering Type),Priority,Custom field (Total amount (€) weighted),Custom field (Type Business Opportunity),Custom field (Country),Custom field (Market),Custom field (Market Manager),Custom field (DN Manager),Custom field (Operations Manager),Custom field (Renewal),Custom field (Código GEP),Custom field (Temporal Scope),Custom field (Receipt of application),Custom field (Delivery Commitment),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Total Amount (euros)),Custom field (Budg.Loc.Currency),Custom field (Margin),Custom field (Offer Code (NG)),Custom field (Offer Description (NG)),Custom field (Transversal offer),Updated,Created,Custom field (Proposal Due Date),Custom field (Observations),Resolved
OFBRA-2902,15858245,lpaixaob,Under Study,SGE - AAPP,SGE - Presale,SGE - AAPP,,Minor,,Presale,Brazil,PA,lpaixaob,lpaixaob,,No,APCOSG_1,,31/12/27 13:18,31/12/27 13:18,,,,,,,,,,,,,,,,,,,,,No,28/01/25 23:05,29/05/24 12:19,,"Jira criado para registro de horas em demandas de Bid Qualification, pré-vendas e outros, que não estão relacionadas a uma oferta.",
OFBRA-2899,15858205,lpaixaob,Under Study,SGE - ENERGY,SGE - Presale,SGE - ENERGY,,Minor,,Presale,Brazil,Energy,lpaixaob,lpaixaob,,No,ENCOSG_1,,31/12/27 13:18,31/12/27 13:18,,,,,,,,,,,,,,,,,,,,,No,03/02/25 10:12,29/05/24 12:14,,"Jira criado para registro de horas em demandas de Bid Qualification, pré-vendas e outros, que não estão relacionadas a uma oferta.",
OFBRA-2898,15858098,lpaixaob,Under Study,SGE - FS,SGE - Presale,SGE - FS,,Minor,,Presale,Brazil,FS,lpaixaob,lpaixaob,,No,FSCOSG_1,,31/12/27 13:18,31/12/27 13:18,,,,,,,,,,,,,,,,,,,,,No,15/08/25 22:05,29/05/24 12:13,,"Jira criado para registro de horas em demandas de Bid Qualification, pré-vendas e outros, que não estão relacionadas a uma oferta.",
OFBRA-2900,15858220,lpaixaob,Under Study,SGE - INDUSTRY,SGE - Presale,SGE - INDUSTRY,,Minor,,Presale,Brazil,Industry,lpaixaob,lpaixaob,,No,INCOSG_1,,31/12/27 13:18,31/12/27 13:18,,,,,,,,,,,,,,,,,,,,,No,08/07/25 22:05,29/05/24 12:16,,"Jira criado para registro de horas em demandas de Bid Qualification, pré-vendas e outros, que não estão relacionadas a uma oferta.",
OFBRA-2901,15858233,lpaixaob,Under Study,SGE - TELCO E MEDIA,SGE - Presale,SGE - TELCO E MEDIA,,Minor,,Presale,Brazil,Telco,lpaixaob,lpaixaob,,No,TECOSG_1,,31/12/27 13:18,31/12/27 13:18,,,,,,,,,,,,,,,,,,,,,No,11/04/25 10:18,29/05/24 12:18,,"Jira criado para registro de horas em demandas de Bid Qualification, pré-vendas e outros, que não estão relacionadas a uma oferta.",
OFBRA-4118,19157550,mcarvalhos,Under Study,"BRASILSEG - Service Desk, Workplace e NOC - [MAP25GU002]",GU - Workplace (WP),Brasilseg,RFP,Minor,,Proposal,Brazil,FS,dfarias,mcarvalhos,dbarul,No,FSCOGU_4,,29/12/25 17:14,05/01/26 17:14,,,,,,,,,,,,,,,,,,,,,No,29/12/25 17:16,29/12/25 17:16,,29/12/2025 - Recebimento da demanda,
OFBRA-4116,19157214,mcarvalhos,On Offer,TRANSPETRO - Central de Atendimento 168 - [TP_CH168],GU - Service Desk (SD),TRANSPETRO,RFP,Minor,"169,940.25",Proposal,Brazil,Energy,pbarrosv,mcarvalhos,dbarul,No,ENCOGU_16,3.0,29/12/25 12:59,07/01/26 12:59,,,,,,,,,,,,,,,,679761.0,4248511.0,25.0,,,No,29/12/25 17:09,29/12/25 13:05,30/03/26 12:05,"29/12/2025 - Recebimento da demanda, feito a leitura do edital e demais anexos, feito a elaboração do modelo operacional e solicitado a validação do modelo por Barul e Victor, enviado a planilha de taxas do RH, enviado os questionamentos, enviado para a equipe de Dev se serão capazes de absorver o pedido de integração e fornecimento do ITSM",
OFBRA-4119,19157974,priniesta,Under Study,PM/DF - DESENVOLVIMENTO DE SOFTWARE - [COPMDFFSW],DS - Software Factory,PM/DF,,Minor,,Proposal,Brazil,PA,fdmatos,priniesta,,No,APCODS_56,,23/12/25 11:05,14/01/26 09:00,,,,,,,,,,,,,,,,,,,,,No,29/12/25 21:14,29/12/25 21:14,,"26/12: Oferta em fase de entendimento.
23/12: Oferta anunciada pelo Mercado. Pregão previsto para o dia 14/01.",
OFBRA-4113,19149203,fsuzuki,On Offer,Ratecard - Alocação de Profissionais IC_COG_BOD0001 -,DS - Software Factory,Cogna,,Minor,,Proposal,Brazil,Industry,fabgoncalves,fsuzuki,amiraldi,No,INCODS_34,,23/12/25 10:21,09/01/26 10:21,dcapretz,emoura,mdamascenoa,tasilva,,,,,,,,,,,,,,,,,Yes,23/12/25 11:45,23/12/25 10:27,,22/12 - Oferta reaberta pelo cliente para avaliar taxas comerciais,
OFBRA-4114,19151395,taleixov,FollowUp,TENDA - Renovação Tenda RPA (IC_TEN_RPA),Hyperautomation,TENDA,Hyperautomation,Minor,"108,530",Proposal,Brazil,Industry,dcavalari,taleixov,rctofic,Yes,INCODA_31,1.0,23/12/25 10:19,23/01/26 10:19,ecarneiro,mbenicios,,,,,,,,,,,,,,108530.0,713079.0,,,,No,29/12/25 12:15,24/12/25 10:28,,"26/12 - KAM informou que a oferta foi entregue em 23/12 para o cliente
24/12 - Anuncio da Oferta e Criação do Jira",
OFBRA-4112,19145637,ejesus,On Offer,BANESE - Administração e Suporte de Banco de Dados [BSE25ABD],DIC - Infra,BANESE,BANESE - Administração e Suporte de Banco de Dados [BSE25ABD],Minor,,Proposal,Brazil,FS,amalheiros,ejesus,ffelix,No,FSCODI_23,1.0,22/12/25 14:00,12/01/26 14:00,phenriquegu,,,,,,,,,,,,,,,,,,,,No,26/12/25 16:00,22/12/25 14:04,,"26/12/25=> Solicitado ao RH as taxas dos perfis necessários.
22/12/25=> Recepção da Oferta e criação do Jira.",
OFBRA-4111,19145180,jpascoalini,On Offer,"EQUATORIAL | Gestão dos Módulos Orçamentários da Área de Obras AT- EQTLDSORCA",DS - IT Strategy,Equatorial Energia,,Minor,"104,000",Proposal,Brazil,Energy,fabarcel,jpascoalini,amiraldi,No,ENCODS_56,1.0,22/12/25 13:18,29/12/25 13:18,phenriquegu,,,,,,,,,,,,,,,104000.0,650000.0,28.0,,,Yes,29/12/25 16:08,22/12/25 13:18,,"26/12/2025 - Proposta em processo de elaboração do MDC e finalização da proposta técncia.
22/12/2025 - inicio da elaboração da oferta.
22/12/2025 - Criação da oportunidade e jira",
OFBRA-4107,19139910,rpuliti,Under Study,VIVO RFI DHCP Escalável - MOC: VIVODHCP ,DIC - Infra,VIVO,VIVO RFI DHCP Escalável - MOC: VIVODHCP ,Minor,,Proposal,Brazil,Telco,laattianese,rpuliti,sbarbosa,No,TECODI_19,,19/12/25 13:46,06/01/26 13:46,agoncalvest,ejesus,fpradoc,rsilveira,,,,,,,,,,,,,,,,,No,22/12/25 17:26,19/12/25 13:50,,19/12 => DN Ricardo atuando com apoio do DN DIC Eduardo e Arquiteto Anderson,
OFBRA-4110,19140026,holiveiram,On Offer,"GOL | Implementação de Módulo SAP MM",SGE - SAP S4 Hana,GOL Linhas Aereas,Projeto,Minor,,Proposal,Brazil,Industry,fcrivano,ecarneiro,fssiqueira,No,INCOSG_113,1.0,19/12/25 13:43,31/01/26 13:43,dcapretz,emoura,,,,,,,,,,,,,,,431546.0,25.0,,,No,29/12/25 10:43,19/12/25 15:02,31/01/26 12:43,"29/12/25: Proposta em andamento. Entrega em 07/01/2026
19/01/25: Oferta criada.",
OFBRA-4115,19156307,ecarneiro,Under Study,"GOL | Implementação de Módulo SAP WM [ICGOLSAPWM]",SGE - SAP S4 Hana,GOL Linhas Aereas,Projeto,Minor,,Proposal,Brazil,Industry,fcrivano,ecarneiro,fssiqueira,No,INCOSG_113,1.0,19/12/25 13:43,29/12/25 13:43,dcapretz,emoura,,,,,,,,,,,,,,,431546.0,25.0,,,No,29/12/25 09:34,29/12/25 09:31,31/01/26 12:43,"29/12: Oferta sendo trabalhada. 
19/12: Oferta criada.",
OFBRA-4117,19157392,jpascoalini,On Offer,"EQUATORIAL | Unificação de Contratos Serviços de GMO - EQTLDSGMO",DS - IT Strategy,Equatorial Energia,,Minor,"960,000",Proposal,Brazil,Energy,fabarcel,jpascoalini,amiraldi,No,ENCODS_58,1.0,19/12/25 13:18,16/01/26 13:18,areinerb,,,,,,,,,,,,,,,960000.0,6000000.0,24.0,,,Yes,29/12/25 16:21,29/12/25 16:08,,"29/12/2025 - Proposta em elaboração
29/12/2025 - Proposta Técnica send elaborada por consulting em paralelo com DS, haverá mescla de perfis de operação e consulting para melhorconcorrência.
29/12/2025 - Criação da oportunidade e jira
",
OFBRA-4102,19133782,mcarvalhos,On Offer,EQUATORIAL - BPO Célula Encerramento de Obra e CNR - [EQTLBPOCNR],BPO - BO,Equatorial,RFP,Minor,,Proposal,Brazil,Energy,fabarcel,mcarvalhos,rlronqui,No,ENCOBP_13,,18/12/25 19:05,29/12/25 19:05,phenriquegu,,,,,,,,,,,,,,,,,,,,No,26/12/25 09:14,18/12/25 19:11,,"26/12/2025 - Na segunda (29/12) haverá uma reunião para debater sobre essa oferta, uma vez que há atividades onde o RH identifica não estar no escopo da Minsait
19/12/2025 - Aguardando as taxas do RH e validação do seguimento da oferta
18/12/2025 - Recebimento da demanda, alinhamento com Fabrício sobre a oferta, alinhamento com Ronqui e Adauri e já busquei o Luiz Fernando Nogueira para pedir material para a composição da técnica. Já enviado a planilha do RH e esboço do MdC ao Pricer",
OFBRA-4101,19133575,lpaixaob,Cancelled,CLIENTE - Implementação xxx - [MOC],CNT - Estrategia,Santander,,Minor,"1,200,000",Proposal,Brazil,Industry,fcrivano,mbenicios,,No,RMCOPA_1,2.0,18/12/25 16:08,31/12/25 16:08,,,,,,,,,,,,,,,,2000000.0,2000000.0,22.0,,,No,18/12/25 17:23,18/12/25 17:08,18/03/26 16:08,18/12/25 - Oferta criada,18/12/25 17:23
OFBRA-4105,19138864,ceduardoc,On Offer,Energisa [] SOC&MSS,Cyber,Energisa,SOC & MSS,Minor,"1,000,000",Proposal,Brazil,Energy,lscaruso,ceduardoc,,No,ENCOCB,3.0,18/12/25 10:44,15/01/26 10:44,,,,,,,,,,,,,,,,1000000.0,6250000.0,24.0,,,No,19/12/25 23:04,19/12/25 10:48,27/02/26 10:44,18/12 - Recebida RFP para avaliação - Geração de Questionamentos - Reunião tecnica com mercado - GO,
OFBRA-4103,19137643,jpascoalini,On Offer,"MERALCO | Projeto GIS Smallworld -  SEM_MOC",DS - Application Modernization,MERALCO,,Minor,"976,000",Proposal,Philippines,Energy,mpiazza,jpascoalini,amiraldi,No,ENCODS_57,1.0,18/12/25 09:16,30/01/26 09:58,phenriquegu,,,,,,,,,,,,,,,976000.0,6100000.0,28.0,,,Yes,26/12/25 11:59,19/12/25 09:14,29/12/25 09:16,"26/12/2025 - Enviado a ESP/FIL o levantamento da equipe necessária ao projeto para avaliação e também as horas previstas para elaboração da oferta.
22/12/2025 - Projeto em análie junto a equipe de Filipinas
19/12/2025 - Iniciado o mapeamento da Proposta
19/12/2025 - Criação da oportunidade e jira",
OFBRA-4098,19125621,ceduardoc,Rejected,Petrobras  PB_SETGIA - MOC PB_SETGIA / GEP ENCOCB_12,Cyber,Petrobras,Petrobras  PB_SETGIA - MOC PB_SETGIA / GEP NCOCB_12,Minor,,Proposal,Brazil,Energy,aazevedol,ceduardoc,sbarbosa,No,ENCOCB_12,3.0,17/12/25 15:09,06/01/26 15:09,agoncalvest,,,,,,,,,,,,,,,,,,,,No,26/12/25 11:41,17/12/25 15:14,,"26/12 - NO GO Colegiado por falta de atestados
17/12 = Aguardando definição dos atestados.",26/12/25 11:41
OFBRA-4100,19133057,kbarbosa,On Offer,B3 - Plataforma Corporativa de Gestão de Ativos e Governança de Endpoints - [B326GU01],GU - Service Desk (SD),"B3 S.A. – BRASIL, BOLSA, BALCÃO",RFP,Minor,"26,744.88",Proposal,Brazil,FS,crodrigos,mcarvalhos,dbarul,No,FSCOGU_8  ,3.0,17/12/25 14:31,02/01/26 14:31,kbarbosa,mbenicios,,,,,,,,,,,,,,111437.0,696481.0,24.0,,,No,26/12/25 09:15,18/12/25 14:40,23/03/26 10:01,"23/12/2025 - Enviado o MdC ao Pricer e proposta técnica enviada para validação por Barul. Aguardando retorno dos questionamentos enviados
18/12/2025 - Iniciando a leitura da oferta",
