"NewID","Semana","JiraKey","UniqueKey","RecipientEmail","OldID"
"1",,,,,"1"
"2",,,,,"2"
"3",,,,,"3"
"4",,,,,"4"
"5",,,,,"6"
"6",,,,,"7"
"7",,,,,"8"
"8",,,,,"9"
"9",,,,,"10"
"10",,,,,"11"
"11",,,,,"12"
"12",,,,,"13"
"13",,,,,"14"
"14",,,,,"15"
"15",,,,,"16"
"16",,,,,"17"
"17",,,,,"33"
"18",,,,,"34"
"19",,,,,"35"
"20",,,,,"36"
"21",,,,,"37"
"22",,,,,"38"
"23",,,,,"39"
"24",,,,,"40"
"25",,,,,"41"
"26",,,,,"42"
"27",,,,,"43"
"28",,,,,"44"
"29",,,,,"45"
"30",,,,,"46"
"31",,,,,"47"
"32",,,,,"48"
"33",,,,,"49"
"34",,,,,"50"
"35",,,,,"51"
"36",,,,,"52"
"37",,,,,"53"
"38",,,,,"54"
"39",,,,,"55"
"40",,,,,"56"
"41",,,,,"57"
"42",,,,,"58"
"43",,,,,"59"
"44",,,,,"61"
"45",,,,,"63"
"46",,,,,"64"
"47",,,,,"66"
"48",,,,,"68"
"49",,,,,"70"
"50",,,,,"74"
"51",,,,,"75"
"52",,,,,"76"
"53",,,,,"78"
"54",,,,,"79"
"55",,,,,"80"
"56",,,,,"83"
"57",,,,,"85"
"58",,,,,"87"
"59",,,,,"89"
"60",,,,,"91"
"61",,,,,"93"
"62",,,,,"95"
"63",,,,,"97"
